,artist,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2135,Blue Öyster Cult,Burnin' for You,0.532,0.705,9,-8.439,0,0.0328,0.137,0.0236,0.0857,0.693,134.223,audio_features,1uZOev7V8UkfhCKuMDnAdy,spotify:track:1uZOev7V8UkfhCKuMDnAdy,https://api.spotify.com/v1/tracks/1uZOev7V8UkfhCKuMDnAdy,https://api.spotify.com/v1/audio-analysis/1uZOev7V8UkfhCKuMDnAdy,271067,4
2136,The Barr Brothers,Little Lover,0.591,0.527,10,-9.378,1,0.0311,0.653,0.232,0.101,0.401,126.587,audio_features,7atukzwVcRwDfzTQwJTvKm,spotify:track:7atukzwVcRwDfzTQwJTvKm,https://api.spotify.com/v1/tracks/7atukzwVcRwDfzTQwJTvKm,https://api.spotify.com/v1/audio-analysis/7atukzwVcRwDfzTQwJTvKm,290787,4
2137,Julien Baker,Sprained Ankle,0.343,0.174,2,-14.471,1,0.0359,0.807,0.47,0.113,0.195,96.884,audio_features,5mHTg6cqhyP0BmsTQKzN1X,spotify:track:5mHTg6cqhyP0BmsTQKzN1X,https://api.spotify.com/v1/tracks/5mHTg6cqhyP0BmsTQKzN1X,https://api.spotify.com/v1/audio-analysis/5mHTg6cqhyP0BmsTQKzN1X,142046,4
2138,Julien Baker,Go Home,0.374,0.0952,4,-11.863,1,0.0352,0.986,0.000272,0.131,0.167,87.202,audio_features,7H189Ut3Lf3fCs49ETxty9,spotify:track:7H189Ut3Lf3fCs49ETxty9,https://api.spotify.com/v1/tracks/7H189Ut3Lf3fCs49ETxty9,https://api.spotify.com/v1/audio-analysis/7H189Ut3Lf3fCs49ETxty9,304645,4
2139,The Wild Feathers,Hallelujah,0.78,0.348,11,-10.07,1,0.0337,0.829,0.0855,0.146,0.604,115.025,audio_features,6spNUBC07D4kLCxc7FgL3Z,spotify:track:6spNUBC07D4kLCxc7FgL3Z,https://api.spotify.com/v1/tracks/6spNUBC07D4kLCxc7FgL3Z,https://api.spotify.com/v1/audio-analysis/6spNUBC07D4kLCxc7FgL3Z,245067,4
2140,Brian Fallon,Honey Magnolia,0.573,0.526,7,-7.75,1,0.0254,0.506,0.000892,0.18,0.522,110.002,audio_features,4gvt7bNmtNXUxjqzl1B7nd,spotify:track:4gvt7bNmtNXUxjqzl1B7nd,https://api.spotify.com/v1/tracks/4gvt7bNmtNXUxjqzl1B7nd,https://api.spotify.com/v1/audio-analysis/4gvt7bNmtNXUxjqzl1B7nd,207880,4
2141,Broken Bells,Perfect World,0.553,0.885,1,-7.334,0,0.0328,0.0158,0.00198,0.0927,0.767,155.988,audio_features,3LqnOFWrX9I5jTjA7cUWjD,spotify:track:3LqnOFWrX9I5jTjA7cUWjD,https://api.spotify.com/v1/tracks/3LqnOFWrX9I5jTjA7cUWjD,https://api.spotify.com/v1/audio-analysis/3LqnOFWrX9I5jTjA7cUWjD,384427,4
2142,Nick 13,Carry My Body Down,0.588,0.715,11,-8.66,0,0.0317,0.0359,0.193,0.0644,0.348,98.967,audio_features,1j14CKvIoBN17BkN8u901Y,spotify:track:1j14CKvIoBN17BkN8u901Y,https://api.spotify.com/v1/tracks/1j14CKvIoBN17BkN8u901Y,https://api.spotify.com/v1/audio-analysis/1j14CKvIoBN17BkN8u901Y,234520,4
2143,Donald Fagen,New Frontier,0.772,0.679,9,-10.47,1,0.0421,0.473,0.0215,0.165,0.886,123.597,audio_features,2HyrLPJTZ4qDpWJ6qnu0Ke,spotify:track:2HyrLPJTZ4qDpWJ6qnu0Ke,https://api.spotify.com/v1/tracks/2HyrLPJTZ4qDpWJ6qnu0Ke,https://api.spotify.com/v1/audio-analysis/2HyrLPJTZ4qDpWJ6qnu0Ke,381107,4
2144,Bob Seger,Ramblin' Gamblin' Man - Live In Detroit / 1975,0.508,0.98,9,-2.387,1,0.0713,0.00985,0,0.653,0.657,132.61,audio_features,7Grq8Hg3KgnmlGTHCBmOL1,spotify:track:7Grq8Hg3KgnmlGTHCBmOL1,https://api.spotify.com/v1/tracks/7Grq8Hg3KgnmlGTHCBmOL1,https://api.spotify.com/v1/audio-analysis/7Grq8Hg3KgnmlGTHCBmOL1,180791,4
2145,Josh Rouse and the Long Vacations,Movin' On,0.659,0.623,7,-8.837,1,0.032,0.627,0.11,0.0976,0.621,80.944,audio_features,5CORKF6K6NeXXMjQ9bJTxo,spotify:track:5CORKF6K6NeXXMjQ9bJTxo,https://api.spotify.com/v1/tracks/5CORKF6K6NeXXMjQ9bJTxo,https://api.spotify.com/v1/audio-analysis/5CORKF6K6NeXXMjQ9bJTxo,222013,4
2146,Fenton Robinson,Gotta Wake Up,0.788,0.469,1,-9.686,0,0.214,0.251,0.000592,0.0632,0.673,80.958,audio_features,4EfGrfVlEszCBHks0zkgUE,spotify:track:4EfGrfVlEszCBHks0zkgUE,https://api.spotify.com/v1/tracks/4EfGrfVlEszCBHks0zkgUE,https://api.spotify.com/v1/audio-analysis/4EfGrfVlEszCBHks0zkgUE,268773,4
